M-Y,Precipitation
Apr-60,97.10
May-60,108.40
Jun-60,73.90
Jul-60,75.60
Aug-60,84.90
Sep-60,132.70
Oct-60,216.90
Nov-60,65.60
Dec-60,53.70
Jan-61,57.50
Feb-61,45.40
Mar-61,37.20
Apr-61,105.00
May-61,64.10
Jun-61,205.30
Jul-61,91.70
Aug-61,142.50
Sep-61,128.00
Oct-61,234.20
Nov-61,86.20
Dec-61,50.90
Jan-62,109.50
Feb-62,26.70
Mar-62,37.30
Apr-62,98.70
May-62,98.40
Jun-62,114.80
Jul-62,147.50
Aug-62,165.10
Sep-62,105.70
Oct-62,84.80
Nov-62,39.70
Dec-62,64.10
Jan-63,31.40
Feb-63,40.20
Mar-63,109.10
Apr-63,59.60
May-63,33.50
Jun-63,142.80
Jul-63,156.20
Aug-63,138.80
Sep-63,48.00
Oct-63,152.20
Nov-63,119.00
Dec-63,22.80
Jan-64,99.50
Feb-64,55.30
Mar-64,53.40
Apr-64,51.20
May-64,120.80
Jun-64,148.10
Jul-64,187.30
Aug-64,342.10
Sep-64,324.90
Oct-64,65.40
Nov-64,62.30
Dec-64,37.00
Jan-65,84.00
Feb-65,15.70
Mar-65,23.50
Apr-65,41.70
May-65,197.10
Jun-65,123.90
Jul-65,218.40
Aug-65,105.20
Sep-65,97.10
Oct-65,38.80
Nov-65,64.70
Dec-65,87.30
Jan-66,31.30
Feb-66,78.50
Mar-66,141.10
Apr-66,118.60
May-66,113.60
Jun-66,252.60
Jul-66,132.30
Aug-66,50.20
Sep-66,311.20
Oct-66,85.60
Nov-66,16.40
Dec-66,29.70
Jan-67,65.30
Feb-67,11.20
Mar-67,58.60
Apr-67,98.60
May-67,67.20
Jun-67,165.60
Jul-67,184.40
Aug-67,88.80
Sep-67,210.60
Oct-67,130.00
Nov-67,41.70
Dec-67,34.60
Jan-68,6.50
Feb-68,25.50
Mar-68,42.50
Apr-68,78.50
May-68,171.50
Jun-68,125.00
Jul-68,97.50
Aug-68,242.00
Sep-68,86.50
Oct-68,145.50
Nov-68,12.50
Dec-68,167.50
Jan-69,35.00
Feb-69,68.50
Mar-69,76.50
Apr-69,53.50
May-69,109.50
Jun-69,123.00
Jul-69,152.50
Aug-69,154.50
Sep-69,36.50
Oct-69,155.50
Nov-69,61.00
Dec-69,10.00
Jan-70,51.00
Feb-70,32.50
Mar-70,34.50
Apr-70,46.00
May-70,152.00
Jun-70,64.50
Jul-70,70.50
Aug-70,88.00
Sep-70,104.00
Oct-70,72.50
Nov-70,126.00
Dec-70,6.00
Jan-71,35.00
Feb-71,51.00
Mar-71,55.50
Apr-71,100.50
May-71,106.00
Jun-71,50.00
Jul-71,207.00
Aug-71,229.50
Sep-71,264.00
Oct-71,126.50
Nov-71,7.00
Dec-71,25.00
Jan-72,115.00
Feb-72,139.50
Mar-72,59.50
Apr-72,89.00
May-72,184.00
Jun-72,69.50
Jul-72,155.00
Aug-72,189.50
Sep-72,245.00
Oct-72,35.50
Nov-72,144.00
Dec-72,79.50
Jan-73,68.50
Feb-73,10.00
Mar-73,38.50
Apr-73,77.00
May-73,50.00
Jun-73,65.50
Jul-73,27.00
Aug-73,49.00
Sep-73,285.50
Oct-73,95.00
Nov-73,35.00
Dec-73,12.50
Jan-74,25.00
Feb-74,59.50
Mar-74,68.00
Apr-74,100.50
May-74,77.00
Jun-74,216.00
Jul-74,205.50
Aug-74,78.50
Sep-74,363.00
Oct-74,57.00
Nov-74,56.00
Dec-74,19.50
Jan-75,51.00
Feb-75,68.50
Mar-75,142.50
Apr-75,36.00
May-75,51.00
Jun-75,97.50
Jul-75,87.00
Aug-75,65.00
Sep-75,97.50
Oct-75,85.50
Nov-75,243.00
Dec-75,12.00
Jan-76,5.00
Feb-76,91.00
Mar-76,14.00
Apr-76,51.00
May-76,55.50
Jun-76,142.50
Jul-76,95.50
Aug-76,380.50
Sep-76,400.00
Oct-76,180.00
Nov-76,61.50
Dec-76,68.00
Jan-77,9.50
Feb-77,12.00
Mar-77,102.00
Apr-77,126.00
May-77,151.00
Jun-77,146.50
Jul-77,77.50
Aug-77,169.00
Sep-77,165.50
Oct-77,42.50
Nov-77,104.50
Dec-77,48.00
Jan-78,24.00
Feb-78,24.50
Mar-78,110.50
Apr-78,102.00
May-78,75.00
Jun-78,159.50
Jul-78,28.00
Aug-78,111.50
Sep-78,109.50
Oct-78,70.00
Nov-78,43.00
Dec-78,5.50
Jan-79,67.50
Feb-79,128.50
Mar-79,41.50
Apr-79,114.50
May-79,149.00
Jun-79,77.00
Jul-79,226.00
Aug-79,147.00
Sep-79,162.00
Oct-79,168.50
Nov-79,130.50
Dec-79,11.00
Jan-80,28.00
Feb-80,30.00
Mar-80,129.00
Apr-80,82.00
May-80,130.50
Jun-80,90.00
Jul-80,444.50
Aug-80,332.50
Sep-80,54.50
Oct-80,161.50
Nov-80,26.50
Dec-80,129.00
Jan-81,25.50
Feb-81,26.00
Mar-81,44.00
Apr-81,115.50
May-81,150.00
Jun-81,240.00
Jul-81,56.00
Aug-81,109.50
Sep-81,177.50
Oct-81,108.50
Nov-81,48.00
Dec-81,21.00
Jan-82,30.50
Feb-82,12.50
Mar-82,78.00
Apr-82,175.50
May-82,184.50
Jun-82,115.00
Jul-82,121.00
Aug-82,106.00
Sep-82,227.50
Oct-82,85.50
Nov-82,59.00
Dec-82,13.50
Jan-83,8.00
Feb-83,70.50
Mar-83,129.00
Apr-83,81.00
May-83,107.50
Jun-83,137.50
Jul-83,299.00
Aug-83,145.00
Sep-83,250.00
Oct-83,51.00
Nov-83,47.50
Dec-83,3.50
Jan-84,21.00
Feb-84,56.00
Mar-84,33.00
Apr-84,130.00
May-84,97.50
Jun-84,64.00
Jul-84,110.00
Aug-84,16.50
Sep-84,138.50
Oct-84,98.00
Nov-84,31.00
Dec-84,24.00
Jan-85,1.50
Feb-85,102.50
Mar-85,68.50
Apr-85,115.50
May-85,79.50
Jun-85,218.00
Jul-85,157.00
Aug-85,55.50
Sep-85,201.50
Oct-85,79.00
Nov-85,96.50
Dec-85,6.00
Jan-86,11.00
Feb-86,20.50
Mar-86,82.50
Apr-86,69.50
May-86,145.00
Jun-86,125.00
Jul-86,192.00
Aug-86,422.00
Sep-86,64.50
Oct-86,99.50
Nov-86,35.50
Dec-86,25.00
Jan-87,23.00
Feb-87,30.00
Mar-87,74.00
Apr-87,8.00
May-87,100.00
Jun-87,69.00
Jul-87,150.50
Aug-87,164.50
Sep-87,141.00
Oct-87,21.00
Nov-87,40.00
Dec-87,16.50
Jan-88,35.50
Feb-88,6.50
Mar-88,94.00
Apr-88,101.50
May-88,90.50
Jun-88,183.50
Jul-88,237.50
Aug-88,281.00
Sep-88,284.00
Oct-88,80.50
Nov-88,17.00
Dec-88,3.00
Jan-89,67.50
Feb-89,56.00
Mar-89,33.00
Apr-89,217.00
May-89,100.00
Jun-89,129.50
Jul-89,106.00
Aug-89,251.50
Sep-89,261.00
Oct-89,84.00
Nov-89,55.50
Dec-89,33.00
Jan-90,13.00
Feb-90,67.00
Mar-90,38.00
Apr-90,171.00
May-90,52.50
Jun-90,132.00
Jul-90,102.00
Aug-90,117.00
Sep-90,260.00
Oct-90,209.50
Nov-90,162.50
Dec-90,12.50
Jan-91,6.00
Feb-91,106.00
Mar-91,68.00
Apr-91,48.00
May-91,46.00
Jun-91,201.00
Jul-91,288.00
Aug-91,358.00
Sep-91,268.50
Oct-91,347.00
Nov-91,41.50
Dec-91,18.50
Jan-92,23.00
Feb-92,9.00
Mar-92,108.00
Apr-92,156.50
May-92,120.00
Jun-92,134.50
Jul-92,103.50
Aug-92,83.00
Sep-92,47.50
Oct-92,145.00
Nov-92,19.00
Dec-92,28.00
Jan-93,47.00
Feb-93,82.00
Mar-93,39.50
Apr-93,46.50
May-93,138.00
Jun-93,124.00
Jul-93,313.50
Aug-93,229.50
Sep-93,221.00
Oct-93,78.00
Nov-93,113.00
Dec-93,33.50
Jan-94,11.00
Feb-94,52.50
Mar-94,80.50
Apr-94,6.50
May-94,111.00
Jun-94,79.00
Jul-94,61.00
Aug-94,102.50
Sep-94,638.50
Oct-94,61.50
Nov-94,5.50
Dec-94,29.50
Jan-95,31.00
Feb-95,14.50
Mar-95,119.50
Apr-95,61.00
May-95,125.50
Jun-95,177.00
Jul-95,86.00
Aug-95,188.50
Sep-95,106.50
Oct-95,25.50
Nov-95,25.50
Dec-95,14.00
Jan-96,15.00
Feb-96,14.00
Mar-96,121.00
Apr-96,47.50
May-96,127.50
Jun-96,126.00
Jul-96,117.00
Aug-96,82.50
Sep-96,207.50
Oct-96,16.00
Nov-96,76.50
Dec-96,9.50
Jan-97,56.00
Feb-97,32.50
Mar-97,19.50
Apr-97,69.50
May-97,147.00
Jun-97,280.50
Jul-97,88.50
Aug-97,45.50
Sep-97,242.00
Oct-97,11.50
Nov-97,133.50
Dec-97,35.00
Jan-98,72.00
Feb-98,42.50
Mar-98,26.00
Apr-98,121.00
May-98,89.50
Jun-98,157.00
Jul-98,140.00
Aug-98,422.00
Sep-98,165.50
Oct-98,158.50
Nov-98,7.00
Dec-98,18.00
Jan-99,4.00
Feb-99,26.00
Mar-99,119.00
Apr-99,145.00
May-99,106.00
Jun-99,245.00
Jul-99,261.50
Aug-99,240.00
Sep-99,280.50
Oct-99,105.00
Nov-99,45.00
Dec-99,19.00
Jan-00,44.50
Feb-00,9.50
Mar-00,54.50
Apr-00,178.50
May-00,90.50
Jun-00,84.50
Jul-00,248.50
Aug-00,54.00
Sep-00,221.00
Oct-00,88.00
Nov-00,94.00
Dec-00,19.00
1-Jan,80.50
1-Feb,24.00
1-Mar,75.50
1-Apr,4.00
1-May,84.50
1-Jun,188.50
1-Jul,137.00
1-Aug,138.00
1-Sep,121.50
1-Oct,176.50
1-Nov,28.50
1-Dec,34.00
2-Jan,147.50
2-Feb,1.50
2-Mar,66.50
2-Apr,36.00
2-May,115.00
2-Jun,132.50
2-Jul,359.50
2-Aug,72.50
2-Sep,82.50
2-Oct,149.50
2-Nov,61.50
2-Dec,16.00
3-Jan,74.00
3-Feb,18.00
3-Mar,123.50
3-Apr,75.00
3-May,48.00
3-Jun,106.50
3-Jul,286.50
3-Aug,211.00
3-Sep,98.00
3-Oct,56.50
3-Nov,150.00
3-Dec,32.00
4-Jan,23.50
4-Feb,35.00
4-Mar,12.50
4-Apr,108.50
4-May,142.00
4-Jun,136.50
4-Jul,156.00
4-Aug,71.50
4-Sep,85.00
4-Oct,293.50
4-Nov,105.50
4-Dec,63.50
5-Jan,62.00
5-Feb,56.00
5-Mar,59.00
5-Apr,34.00
5-May,71.50
5-Jun,91.50
5-Jul,237.50
5-Aug,182.00
5-Sep,72.00
5-Oct,63.50
5-Nov,33.00
5-Dec,66.50
6-Jan,15.50
6-Feb,62.50
6-Mar,70.50
6-Apr,76.00
6-May,102.00
6-Jun,154.50
6-Jul,324.50
6-Aug,40.50
6-Sep,215.00
6-Oct,305.00
6-Nov,143.00
6-Dec,90.50
7-Jan,51.00
7-Feb,35.50
7-Mar,39.00
7-Apr,59.00
7-May,113.50
7-Jun,159.00
7-Jul,303.00
7-Aug,135.00
7-Sep,190.50
7-Oct,160.50
7-Nov,44.00
7-Dec,53.50
8-Jan,10.00
8-Feb,21.50
8-Mar,40.00
8-Apr,127.50
8-May,149.50
8-Jun,101.50
8-Jul,73.50
8-Aug,444.00
8-Sep,95.50
8-Oct,191.00
8-Nov,60.00
8-Dec,35.00
9-Jan,96.50
9-Feb,37.50
9-Mar,41.50
9-Apr,180.50
9-May,80.50
9-Jun,128.00
9-Jul,130.50
9-Aug,199.50
9-Sep,12.00
9-Oct,186.50
9-Nov,134.50
9-Dec,76.00
10-Jan,4.00
10-Feb,24.50
10-Mar,89.50
10-Apr,163.50
10-May,182.00
10-Jun,146.50
10-Jul,134.00
10-Aug,37.50
10-Sep,248.00
10-Oct,124.50
10-Nov,40.00
10-Dec,250.00
11-Jan,8.50
11-Feb,52.00
11-Mar,43.50
11-Apr,55.00
11-May,222.50
11-Jun,135.00
11-Jul,96.50
11-Aug,51.00
11-Sep,362.50
11-Oct,107.00
11-Nov,35.00
11-Dec,45.50
12-Jan,22.50
12-Feb,44.00
12-Mar,123.50
12-Apr,57.00
12-May,224.00
12-Jun,207.00
12-Jul,164.00
12-Aug,24.50
12-Sep,130.00
12-Oct,82.50
12-Nov,58.00
12-Dec,42.50
13-Jan,37.00
13-Feb,18.50
13-Mar,3.00
13-Apr,118.50
13-May,27.50
13-Jun,92.00
13-Jul,257.50
13-Aug,88.50
13-Sep,210.50
13-Oct,179.50
13-Nov,14.00
13-Dec,65.00
14-Jan,18.00
14-Feb,78.50
14-Mar,162.50
14-Apr,69.00
14-May,83.50
14-Jun,242.00
14-Jul,123.00
14-Aug,133.00
14-Sep,112.00
14-Oct,256.50
14-Nov,70.50
14-Dec,68.00
15-Jan,41.50
15-Feb,30.00
15-Mar,184.50
15-Apr,100.50
15-May,45.00
15-Jun,130.50
15-Jul,54.50
15-Aug,219.50
15-Sep,441.00
15-Oct,8.00
15-Nov,144.50
15-Dec,45.00
16-Jan,67.50
16-Feb,17.50
16-Mar,8.50
16-Apr,180.00
16-May,87.50
16-Jun,157.50
16-Jul,56.00
16-Aug,226.50
16-Sep,314.00
16-Oct,26.50
16-Nov,36.00
16-Dec,31.50
17-Jan,18.00
17-Feb,15.00
17-Mar,77.50
17-Apr,101.00
17-May,137.00
17-Jun,80.50
17-Jul,182.00
17-Aug,219.00
17-Sep,135.50
17-Oct,340.50
17-Nov,7.50
17-Dec,7.00
18-Jan,50.00
18-Feb,25.50
18-Mar,126.50
18-Apr,37.00
18-May,102.50
18-Jun,100.50
18-Jul,58.50
18-Aug,272.50
18-Sep,188.50
18-Oct,68.00
18-Nov,23.50
18-Dec,29.00
19-Jan,4.00
19-Feb,13.00
19-Mar,83.00
19-Apr,90.50
19-May,81.00
19-Jun,168.50
19-Jul,111.50
19-Aug,88.50
19-Sep,72.50
19-Oct,644.50
19-Nov,5.50
19-Dec,27.00
20-Jan,126.50
20-Feb,19.50
20-Mar,45.50
20-Apr,153.50
20-May,105.50
20-Jun,43.50
20-Jul,397.50
20-Aug,72.50
20-Sep,191.50
20-Oct,63.00
20-Nov,7.00
20-Dec,21.50
